genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Neosetophoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.006
g__Trichomerium	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	0.006
g__Odontoefibula	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0059
g__Humicola	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	0.0057
g__Candolleomyces	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	0.0055
g__Conidiobolus	k__Fungi	p__Entomophthoromycota	c__Entomophthoromycetes	o__Entomophthorales	f__Ancylistaceae	0.0053
g__Knufia	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	0.0053
g__Cystofilobasidium	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	0.0052
g__Rhodosporidiobolus	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.0052
g__Oligophagozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.0051
g__Coprinopsis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	0.0049
g__Chrysothrix	k__Fungi	p__Ascomycota	c__Arthoniomycetes	o__Arthoniales	f__Chrysotrichaceae	0.0048
g__Pallidohirschioporus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hirschioporaceae	0.0048
g__Suillus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Suillaceae	0.0047
g__Alboefibula	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0046
g__Leptospora	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.0046
g__Nakaseomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.0045
g__Kneiffiella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hyphodontiaceae	0.0044
g__Auriporia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporales_fam_Incertae_sedis	0.0042
g__Dioszegia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	0.0042
g__Rhizoctonia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	0.0042
g__Torula	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Torulaceae	0.0042
g__Fibricium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetales_fam_Incertae_sedis	0.0041
g__Hericiaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Hericiaceae	0.0041
g__Pezizales_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizales_fam_Incertae_sedis	0.0041
g__Nothophoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.004
g__Spissiomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Tubeufiales	f__Wiesneriomycetaceae	0.004
g__Lophodermium	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__Rhytismataceae	0.0038
